a,b,c
-1.59E-03,7.97E-04,6.79E-03
-1.60E-03,7.90E-04,6.78E-03
-1.61E-03,7.83E-04,6.77E-03
-1.61E-03,7.82E-04,6.76E-03
-1.60E-03,7.86E-04,6.76E-03
-1.60E-03,7.91E-04,6.77E-03
-1.59E-03,7.96E-04,6.78E-03
-1.59E-03,7.94E-04,6.78E-03
-1.59E-03,7.93E-04,6.78E-03
-1.59E-03,7.93E-04,6.78E-03
-1.59E-03,7.90E-04,6.78E-03
-1.60E-03,7.86E-04,6.77E-03
-1.61E-03,7.86E-04,6.76E-03
-1.60E-03,7.89E-04,6.76E-03
-1.60E-03,7.95E-04,6.77E-03
-1.59E-03,8.04E-04,6.78E-03
-1.59E-03,8.04E-04,6.77E-03
-1.60E-03,7.99E-04,6.76E-03
-1.60E-03,7.97E-04,6.76E-03
-1.60E-03,7.87E-04,6.76E-03
-1.60E-03,7.83E-04,6.76E-03
-1.60E-03,7.88E-04,6.77E-03
-1.60E-03,7.95E-04,6.78E-03
-1.59E-03,8.03E-04,6.78E-03
-1.58E-03,8.09E-04,6.79E-03
-1.58E-03,8.07E-04,6.78E-03
-1.59E-03,8.01E-04,6.78E-03
-1.60E-03,7.98E-04,6.77E-03
-1.60E-03,7.94E-04,6.76E-03
-1.60E-03,7.89E-04,6.75E-03
-1.59E-03,7.90E-04,6.76E-03
-1.59E-03,7.95E-04,6.77E-03
-1.59E-03,8.03E-04,6.78E-03
-1.59E-03,8.05E-04,6.79E-03
-1.59E-03,7.95E-04,6.79E-03
-1.60E-03,7.86E-04,6.78E-03
-1.61E-03,7.81E-04,6.76E-03
-1.62E-03,7.74E-04,6.75E-03
-1.62E-03,7.74E-04,6.76E-03
-1.61E-03,7.79E-04,6.77E-03
-1.61E-03,7.87E-04,6.77E-03
-1.60E-03,7.97E-04,6.78E-03
-1.59E-03,8.02E-04,6.78E-03
-1.59E-03,7.97E-04,6.77E-03
-1.59E-03,7.89E-04,6.77E-03
-1.60E-03,7.82E-04,6.76E-03
-1.61E-03,7.80E-04,6.76E-03
-1.61E-03,7.81E-04,6.76E-03
-1.61E-03,7.82E-04,6.77E-03
-1.60E-03,7.93E-04,6.78E-03
-1.58E-03,8.02E-04,6.78E-03
-1.58E-03,8.04E-04,6.78E-03
-1.59E-03,7.99E-04,6.77E-03
-1.61E-03,7.91E-04,6.77E-03
-1.61E-03,7.89E-04,6.77E-03
-1.60E-03,7.90E-04,6.77E-03
-1.59E-03,7.98E-04,6.78E-03
-1.57E-03,8.09E-04,6.79E-03
-1.57E-03,8.16E-04,6.79E-03
-1.57E-03,8.17E-04,6.78E-03
-1.58E-03,8.11E-04,6.78E-03
-1.59E-03,8.03E-04,6.77E-03
-1.60E-03,7.97E-04,6.76E-03
-1.61E-03,7.91E-04,6.75E-03
-1.61E-03,7.87E-04,6.76E-03
-1.60E-03,7.91E-04,6.77E-03
-1.59E-03,8.00E-04,6.78E-03
-1.59E-03,8.03E-04,6.78E-03
-1.59E-03,8.00E-04,6.77E-03
-1.59E-03,7.95E-04,6.76E-03
-1.59E-03,7.92E-04,6.76E-03
-1.59E-03,7.89E-04,6.76E-03
-1.60E-03,7.88E-04,6.76E-03
-1.60E-03,7.93E-04,6.77E-03
-1.59E-03,8.07E-04,6.78E-03
-1.57E-03,8.19E-04,6.79E-03
-1.56E-03,8.19E-04,6.80E-03
-1.57E-03,8.08E-04,6.79E-03
-1.59E-03,8.01E-04,6.77E-03
-1.60E-03,7.95E-04,6.77E-03
-1.60E-03,7.94E-04,6.76E-03
-1.59E-03,8.04E-04,6.77E-03
